[0.000000] (-) TimerEvent: {}
[0.000161] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000228] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000318] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000362] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000379] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000916] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000961] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000976] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.001054] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.001090] (-) JobUnselected: {'identifier': 'moveit'}
[0.001131] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.001147] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.001160] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.001199] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.001240] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.001255] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.001267] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.001565] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.001581] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.001637] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.001655] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.001668] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.001680] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.001692] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.001722] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.001739] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.001751] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.001763] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.001774] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.001786] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.001797] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.001808] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.001819] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.001830] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.001841] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001852] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001862] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001873] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001884] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001895] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001906] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001917] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001928] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.001939] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.001949] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001960] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001971] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001983] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001993] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.002004] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.002015] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.002026] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.002037] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.002047] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.002058] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.002069] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.002081] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.002102] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.002114] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.002125] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.002136] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.002147] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.002188] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.002221] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.002239] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.002251] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.002263] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.002274] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.002285] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.002296] (-) JobUnselected: {'identifier': 'serial'}
[0.002308] (-) EventReactorShutdown: {}
